12:31:22.44 25:46:26.65 21.937±0.210 21.295±0.213 20.892±0.213 — —
12:31:22.34 25:46:26.69 22.131±0.220 21.658±0.247 21.094±0.207 — —
12:31:22.02 25:46:27.27 22.776±0.205 22.096±0.185 21.655±0.186 — —
12:31:25.55 25:46:27.70 21.707±0.178 21.151±0.186 20.674±0.181 — —
12:31:26.20 25:46:28.13 23.339±0.360 22.181±0.246 22.125±0.335 — —
12:31:22.84 25:46:28.52 21.041±0.132 20.314±0.151 19.880±0.137 — —
12:31:22.69 25:46:29.24 21.390±0.178 20.783±0.178 20.379±0.185 — —
12:31:22.17 25:46:32.05 22.518±0.255 22.248±0.319 21.501±0.255 — —
12:31:23.28 25:46:32.27 20.486±0.117 19.861±0.129 19.499±0.137 — —
12:31:23.02 25:46:34.46 20.484±0.116 19.861±0.129 19.504±0.133 — —
12:31:25.53 25:46:37.78 21.699±0.165 21.109±0.173 20.707±0.176 — —
12:31:24.94 25:46:39.18 20.964±0.105 20.366±0.106 20.035±0.122 — —
12:31:24.99 25:46:40.15 20.964±0.105 20.372±0.110 20.041±0.123 — —
12:31:26.07 25:46:40.66 23.309±0.284 22.288±0.277 22.047±0.340 — —
12:31:22.60 25:46:41.92 21.865±0.190 21.297±0.199 20.868±0.191 — —
12:31:23.47 25:46:43.72 20.682±0.133 20.061±0.130 19.615±0.110 — —
12:31:22.91 25:46:43.72 21.407±0.180 20.789±0.192 20.397±0.179 — —
12:31:24.83 25:46:44.36 21.014±0.185 20.361±0.172 19.989±0.178 — —
12:31:22.88 25:46:45.26 21.592±0.173 20.899±0.174 20.570±0.184 — —
12:31:22.41 25:46:46.24 22.490±0.156 21.930±0.167 21.536±0.178 — —
12:31:25.69 25:46:45.84 22.494±0.235 21.795±0.213 21.535±0.203 — —
12:31:22.37 25:46:46.31 22.625±0.187 21.990±0.179 21.450±0.158 — —
12:31:23.71 25:46:46.99 21.073±0.178 20.414±0.179 20.011±0.159 — —
12:31:23.42 25:46:46.74 20.716±0.110 20.124±0.114 19.756±0.117 — —
12:31:23.86 25:46:47.35 21.048±0.122 20.400±0.128 19.984±0.136 — —
12:31:22.46 25:46:47.39 22.312±0.197 21.704±0.201 21.321±0.198 — —
12:31:23.01 25:46:47.39 21.661±0.187 21.068±0.197 20.563±0.181 — —
12:31:25.70 25:46:48.61 23.640±0.489 22.682±0.355 22.277±0.363 — —
12:31:23.03 25:46:49.00 21.848±0.200 21.045±0.141 20.806±0.194 — —
12:31:24.82 25:46:48.86 21.499±0.165 20.858±0.165 20.451±0.167 — —
12:31:23.66 25:46:48.94 21.538±0.212 20.794±0.184 20.282±0.126 — —
12:31:23.97 25:46:50.63 20.696±0.069 19.994±0.064 19.609±0.058 — —
12:31:22.73 25:46:50.30 22.206±0.204 21.648±0.221 21.274±0.238 — —
12:31:23.70 25:46:50.59 21.513±0.156 20.953±0.175 20.568±0.181 — —
12:31:23.24 25:46:51.49 21.623±0.113 21.040±0.100 20.698±0.125 — —
12:31:24.36 25:46:51.92 21.676±0.165 21.084±0.165 20.764±0.168 — —
12:31:25.15 25:46:51.81 22.132±0.203 21.489±0.183 21.182±0.210 — —
12:31:24.16 25:46:52.00 20.756±0.071 20.032±0.067 19.766±0.075 — —
12:31:24.79 25:46:52.25 21.877±0.184 21.226±0.175 20.822±0.183 — —
12:31:23.13 25:46:52.36 21.621±0.107 21.059±0.105 20.698±0.125 — —
12:31:25.28 25:46:52.86 22.386±0.220 21.851±0.225 21.439±0.235 — —
12:31:23.55 25:46:52.86 21.877±0.184 21.206±0.164 20.758±0.164 — —
12:31:22.80 25:46:53.51 22.507±0.222 21.705±0.186 21.386±0.214 — —
